idsow,order_no,operation_no,ssbr_id,part_number,part_name,model,customer,location,wct_group,workcenter,operationtext,workcenterdescription,planhours,systemstatus,confirmation,status,finish_date,codenumber,weight,created_by,type,group,category,remark,sync,plan_start,plan_finish,actual_start,actual_finish,actual_progress,actual_hours
425907,1000085148,190,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding the OD middle worn out area,,2,,,,,1.00009E+12,,,,1,,,,,,,,,
425906,1000085148,180,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding the OD thread ,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425919,1000085148,310,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Machining the OD middle worn out area,,1.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425920,1000085148,320,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Machining the OD bearing seat 1,,2.5,,,,,1.00009E+12,,,,1,,,,,,,,,
486542,1000110034,80,SHCG-326,8J-9431,Housing Hoist Cylinder,,PT. Cipta Kridatama,Site BMB,BSW,M5153BSW,Cut off tube from flange,,2,,,,,1.00011E+11,0,,,1,,,,,,,,,
486555,1000110034,240,SHCG-326,8J-9431,Housing Hoist Cylinder,,PT. Cipta Kridatama,Site BMB,WM1,M5153WM1,Weld Build Up ID eye,,2,,,,,1.00011E+12,0,,,1,,Reuse and Salvage Guidliene SEBF8072-22 2013,,,,,,,
486557,1000110034,250,SHCG-326,8J-9431,Housing Hoist Cylinder,,PT. Cipta Kridatama,Site BMB,HB,M5153CLT,Machining Face eye,,4,,,,,1.00011E+12,0,,,1,,IF ID length Oversize reffer to Item 270,,,,,,,
425889,1000085148,10,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,DIS,M5153DIS,Remove Pin,,1,,,,,1.00009E+11,,,,1,,,,,,,,,
425918,1000085148,300,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Machining the OD thread ,,1.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425897,1000085148,90,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Striping the OD bearing seat 1,,0.5,,,,,1.00009E+11,,,,1,,,,,,,,,
425921,1000085148,330,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Machining the OD bearing seat 2,,2.5,,,,,1.00009E+12,,,,1,,,,,,,,,
516064,1000120767,20,SHSG-302,,Head As Front Suspension,777,Putra Perkasa Abadi PT.,BIB,WM3,M5153WM3,Welding Worn Out,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
516065,1000120767,30,SHSG-302,,Head As Front Suspension,777,Putra Perkasa Abadi PT.,BIB,SYG,M5153COR,Strip OD stub prior to weld,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
516066,1000120767,40,SHSG-302,,Head As Front Suspension,777,Putra Perkasa Abadi PT.,BIB,SAW,M5153SW1,Weld OD stub,,3,,,,,1.00012E+11,0,,,1,,,,,,,,,
425905,1000085148,170,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding the ID bearing seat 2,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425904,1000085148,160,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding the ID bearing seat 1,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425917,1000085148,290,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,HB,M5153CLT,Machining the ID Spindle,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425911,1000085148,230,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,QC2,M5153QC2,Check Crack ,,0.5,,,,,1.00009E+12,,,,1,,,,,,,,,
515244,1000120767,70,SHSG-302,,Head As Front Suspension,777,Putra Perkasa Abadi PT.,BIB,HDR,M5153HDR,Handressing,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
516067,1000120767,50,SHSG-302,,Head As Front Suspension,777,Putra Perkasa Abadi PT.,BIB,SYG,M5153COR,Machining OD stub,,4,,,FINISH,12/19/2025,1.00012E+11,0,,,1,,,,,,,,,
425910,1000085148,220,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding  the retainer area,,1.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425909,1000085148,210,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding the OD bearing seat 2,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425908,1000085148,200,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding the OD bearing seat 1,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425903,1000085148,150,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding the thread holes,,0.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425902,1000085148,140,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Welding the ID thread ,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425901,1000085148,130,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Weld worn out area,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425924,1000085148,360,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,QC2,M5153QC2,Final inspection,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425900,1000085148,120,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,WM3,M5153WM3,Weld cracks,,2,,,,,1.00009E+12,,,,1,,,,,,,,,
425899,1000085148,110,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Striping the retainer area,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425898,1000085148,100,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Striping the OD bearing seat 2,,0.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425896,1000085148,80,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Striping the OD middle worn out area,,1,,,,,1.00009E+11,,,,1,,,,,,,,,
425895,1000085148,70,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,MGN1,M5153COR,Striping the OD thread ,,0.5,,,,,1.00009E+11,,,,1,,,,,,,,,
425894,1000085148,60,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,HB,M5153CLT,Striping the ID bearing seat 2,,1,,,,,1.00009E+11,,,,1,,,,,,,,,
425893,1000085148,50,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,HB,M5153CLT,Striping the ID bearing seat 1,,1,,,,,1.00009E+11,,,,1,,,,,,,,,
