idsow,order_no,operation_no,ssbr_id,part_number,part_name,model,customer,location,wct_group,workcenter,operationtext,workcenterdescription,planhours,systemstatus,confirmation,status,finish_date,codenumber,weight,created_by,type,group,category,remark,sync,plan_start,plan_finish,actual_start,actual_finish,actual_progress,actual_hours
515578,,1,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,,test 1,,0,,,,,1,0,teesan,SINGLE,1,JOB,,,,,,,,
515579,,2,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 2,,1,,,,,2,0,teesan,SINGLE,1,JOB,,,,,,,,
515580,,3,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 3,,2.5,,,,,3,0,teesan,SINGLE,1,JOB,,,,,,,,
515581,,4,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 4,,1,,,,,4,0,teesan,SINGLE,1,JOB,,,,,,,,
515582,,5,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 5,,1,,,,,5,0,teesan,SINGLE,1,JOB,,,,,,,,
515583,,6,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 6,,1,,,,,6,0,teesan,SINGLE,1,JOB,,,,,,,,
515584,,7,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 7,,1,,,,,7,0,teesan,SINGLE,1,JOB,,,,,,,,
515585,,8,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 8,,1,,,,,8,0,teesan,SINGLE,1,JOB,,,,,,,,
515586,,9,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 9,,1,,,,,9,0,teesan,SINGLE,1,JOB,,,,,,,,
515588,,11,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 11,,1,,,,,11,0,teesan,SINGLE,1,JOB,,,,,,,,
515462,1000122217,30,SHCG-441,7J-4083 ,Piston Ripper Lilt Cylinder ,D10T,PT. Cipta Kridatama,BIB,QC2,M5153QC2,Inspection,,1,,,FINISH,12/12/2025,1.00012E+11,0,,,2,,,,,,,,,
514310,320008546,1602,SHSP-559,223-9657,Rod Front Suspension,777,Cipta Kridatama PT.,BIB,WM3,,Welding Crack,,6,,,FINISH,12/9/2025,3.20009E+12,0,,,2,,,,,,,,,
514461,1000122086,100,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,HCP2,,Chrome,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514460,1000122086,90,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,HCP1,,Dechrome,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514455,1000122086,40,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,DIS,,Disassembly,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514454,1000122086,30,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,BSW,,Bandsaw,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514459,1000122086,80,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,BST,,Big Spindle Lathe,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514458,1000122086,70,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,SYG,,Turning Lathe 3M,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514456,1000122086,50,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,HB,,Horizontal Bore,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514453,1000122086,20,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,BLS,,Blasting,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514824,1000121500,200,SHSP-494,,Housing Rear Suspension,773,Cipta Kridatama,Site TIA,HM,,Honing ID Housing,,8,,,FINISH,12/9/2025,1.00012E+12,,,,1,,,,,,,,,
515661,1000122336,20,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,PPC,,Order / manufacture sleeve ,,0,,,,,1.00012E+11,0,,,1,,"AISI 1045 (OD180, L110)",,,,,,,
515665,1000122336,60,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,ASY,,Install Sleeve,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515666,1000122336,70,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,WM3,,Weld Joint Sleeve ,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515667,1000122336,80,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,WM2,,Weld dent area,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515668,1000122336,90,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,WM2,,Remove Broken Bolt,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515669,1000122336,100,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,HDR,,Handressing,,1,,,,,1.00012E+12,0,,,1,,,,,,,,,
515670,1000122336,110,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,QC2,,Inspection,,1,,,,,1.00012E+12,0,,,1,,,,,,,,,
514805,1000121499,240,SHCP-290,,Rod as Hoist Cylinder,773,PT. Cipta Kridatama,Site BIB,MGN1,,Light skim end face prior to remove excesive chrome,,1,,,FINISH,12/12/2025,1.00012E+12,,,,1,JOB,,update,,,,,,
427944,1000086463,2310,BHSG-2881-II,223-4418,Liner,,PT. Cipta Kridatama,BMB,HM,M5153HM1,Honing ,,3.5,,,,,1.00009E+13,,,,1,,,update,2/2/2026,2/2/2026,,,,
427945,1000086463,2311,BHSG-2881-II,223-4418,Liner,,PT. Cipta Kridatama,BMB,HDR,M5153HDR,Handress,,0.5,,,,,1.00009E+13,,,,1,,,update,2/2/2026,2/2/2026,,,,
427946,1000086463,2312,BHSG-2881-II,223-4418,Liner,,PT. Cipta Kridatama,BMB,QC2,M5153QC2,Post inspect,,0.5,,,,,1.00009E+13,,,,1,,,update,2/2/2026,2/2/2026,,,,
510999,1000120119,290,BHSC-1111,,Piston Hoist Cylinder,,,,,,Tig Weld,,1,,,,,1.00012E+12,,,,1,,,update,2/5/2026,2/5/2026,,,,
515664,1000122336,50,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,HB,,Strip ID eye bore,,4,,,FINISH,12/18/2025,1.00012E+11,0,,,1,,,,,,,,,
515663,1000122336,40,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,SYG,,Manufacture sleeve,,8,,,FINISH,12/19/2025,1.00012E+11,0,,,1,,ID Eye bore & threading nut seat,,,,,,,
515662,1000122336,30,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,BSW,,Cut Material,,2,,,FINISH,12/20/2025,1.00012E+11,0,,,1,,,,,,,,,
514457,1000122086,60,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,MGN1,,Magnum,,1,,,FINISH,12/29/2025,1.00012E+11,,,,1,,,,,,,,,
514472,1000122086,210,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,QC1,,Pre Inspect,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514481,1000122086,300,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,WM3,,General Welding,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514480,1000122086,290,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,WM2,,Tig Weld,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514479,1000122086,280,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,WM1,,ID Weld,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514476,1000122086,250,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,VTL,,Vertical Lathe,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514452,1000122086,10,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,ASY,,Assembly,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514478,1000122086,270,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,WF5,,Gouging,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514470,1000122086,190,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,PRM1,,Bending,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514469,1000122086,180,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,POL2,,Polisher,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514465,1000122086,140,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,LBP,,Line Boring,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514477,1000122086,260,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,WF3,,Welding Fabrikasi,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514475,1000122086,240,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,SAW,,SAW,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514473,1000122086,220,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,QC2,,Post / Final Inspect,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514987,1000121474,30,SHSG-303,,Housing As Front Suspension,773,Cipta Kridatama PT.,BIB,WM3,,Remove Gusset,,1,,,FINISH,12/9/2025,1.00012E+11,,,,6,,,,,,,,,
514969,1000121492,160,SHSG-306,,Housing As Front Suspension,777G,Cipta Kridatama PT.,BIB,HB,,Machining ID Wearing Seat,,8,,,FINISH,12/12/2025,1.00012E+12,,,,5,,,,,,,,,
511573,1000121019,310,SFRM-755,5-001373,HITACHI EX2600 CE 6224,EX2600,PT. Cipta Kridatama,Site BIB,WF3,,Setting & Welding Base Plate Cutting Edge,,20,,,FINISH,12/9/2025,1.00012E+12,,,,1,,,,,,,,,
515671,1000122315,20,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,SYG,M5153COR,Strip OD Snap Ring Groove,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515672,1000122315,30,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,WM2,M5153WM2,Welding OD Snap Ring Groove,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515673,1000122315,40,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,SYG,M5153COR,Machining OD Snap Ring Groove,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515674,1000122315,50,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,SYG,M5153COR,Strip the bearing seat 1,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515675,1000122315,60,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,SYG,M5153COR,Strip the bearing seat 2,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515676,1000122315,70,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,BLS,M5153BLS,Blasting,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515677,1000122315,80,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,MTS,M5153MTS,Wire arc the bearing seat 1,,3,,,,,1.00012E+11,0,,,1,,,,,,,,,
515678,1000122315,90,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,MTS,M5153MTS,Wire arc the bearing seat 2,,3,,,,,1.00012E+11,0,,,1,,,,,,,,,
515680,1000122315,110,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,SYG,M5153COR,Machining the bearing seat 2,,4,,,,,1.00012E+12,0,,,1,,,,,,,,,
515681,1000122315,120,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,HDR,M5153HDR,Handressing,,2,,,,,1.00012E+12,0,,,1,,,,,,,,,
515682,1000122315,130,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,QC2,M5153QC2,Final inspection,,1,,,,,1.00012E+12,0,,,1,,,,,,,,,
515679,1000122315,100,STCP-179,,Shaft Center Transmission,777,PT. Cipta Kridatama,Site BMB,SYG,M5153COR,Machining the bearing seat 1,,4,,,FINISH,12/16/2025,1.00012E+12,0,,,1,,,,,,,,,
513497,1000120977,250,SHCP-286,317-8435 ,Rod As Stick Cylinder,390FL,"Cipta Kridatama, PT.",Site BIB,POL2,,Final Polish OD of rod,,8,,,FINISH,12/9/2025,1.00012E+12,,,,1,,,,,,,,,
515683,1000122353,10,SHCP-331,465-6278,Yoke Eye As Stick Cylinder,6030,PT. Cipta Kridatama,BMB,,,Start Fabrication,,0,,,,,1.00012E+11,0,,,1,,,,,,,,,
515685,1000122353,30,SHCP-331,465-6278,Yoke Eye As Stick Cylinder,6030,PT. Cipta Kridatama,BMB,WM1,M5153WM1,Build Up ID Thread,,5,,,,,1.00012E+11,0,,,1,,,,,,,,,
417142,1000078791,99,SDFP-09,,Carrier Differential,,PT. Cipta Kridatama,Site BIB,HB,,Setting before machine,,1,,,,,1.00008E+11,,,,1,,,update,2/2/2026,2/2/2026,2/6/2026,2/11/2026,1,5
515686,1000122353,40,SHCP-331,465-6278,Yoke Eye As Stick Cylinder,6030,PT. Cipta Kridatama,BMB,HB,M5153CLT,Machining Face Eye,,3,,,,,1.00012E+11,0,,,1,,,,,,,,,
515687,1000122353,50,SHCP-331,465-6278,Yoke Eye As Stick Cylinder,6030,PT. Cipta Kridatama,BMB,HB,M5153CLT,Machining ID Thread,,12,,,,,1.00012E+11,0,,,1,,,,,,,,,
515688,1000122353,60,SHCP-331,465-6278,Yoke Eye As Stick Cylinder,6030,PT. Cipta Kridatama,BMB,HDR,M5153HDR,Retap ID Thread,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515689,1000122353,70,SHCP-331,465-6278,Yoke Eye As Stick Cylinder,6030,PT. Cipta Kridatama,BMB,HDR,M5153HDR,Handressing,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515690,1000122353,80,SHCP-331,465-6278,Yoke Eye As Stick Cylinder,6030,PT. Cipta Kridatama,BMB,QC2,M5153QC2,Final Inspection,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515684,1000122353,20,SHCP-331,465-6278,Yoke Eye As Stick Cylinder,6030,PT. Cipta Kridatama,BMB,HB,M5153CLT,Striping ID Thread,,5,,,FINISH,12/17/2025,1.00012E+11,0,,,1,,,,,,,,,
513883,1000121464,20,SWRP-754,-,Piston Parking Brake,773,"PT. Cipta Kridatama,",Site BIB,WM2,,Weld worn and dent at near pin hole and face,,2,,,FINISH,12/9/2025,1.00012E+11,,,,1,,,,,,,,,
513832,1000121461,90,SHSP-559,223-9657,Rod Front Suspension,777,PT. Cipta Kridatama,Site BIB,POL1,,Pre polish OD rod prior to chrome,,8,,,FINISH,12/12/2025,1.00012E+11,,,,1,,,,,,,,,
514369,1000121479,170,SHSG-304,223-4396,Housing As Front Suspension,773,Cipta Kridatama PT.,BIB,HB,,Check Run Out (Center Line),,1,,,FINISH,12/10/2025,1.00012E+12,,,,5,,,,,,,,,
515691,320008577,1601,SWRP-768,316-9771,Housing Inner Final Drive,14M,Trakindo Utama PT.,BIB,BST,M5153COR,Strip OD Seal Contact,,1,,,,,3.20009E+12,0,,,2,,,,,,,,,
515692,320008577,1602,SWRP-768,316-9771,Housing Inner Final Drive,14M,Trakindo Utama PT.,BIB,MTS,M5153MTS,Metal Spray OD Seal Contact,,2,,,,,3.20009E+12,0,,,2,,,,,,,,,
515693,320008577,1603,SWRP-768,316-9771,Housing Inner Final Drive,14M,Trakindo Utama PT.,BIB,MGN1,M5153COR,Machining  OD Seal Contact,,2,,,FINISH,12/13/2025,3.20009E+12,0,,,2,,,,,,,,,
515694,1000122166,20,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,WM2,M5153WM2,Tig weld bad profile at face,,4,,,,,1.00012E+11,0,,,1,,,,,,,,,
515695,1000122166,30,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,WM2,M5153WM2,Remove crack,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515696,1000122166,40,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,WM2,M5153WM2,Welding crack,,8,,,,,1.00012E+11,0,,,1,,,,,,,,,
515698,1000122166,60,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,QC2,M5153QC2,Check Crack,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515699,1000122166,70,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,BST,M5153COR,Strip OD Ring Wear,,3,,,,,1.00012E+11,0,,,1,,,,,,,,,
515700,1000122166,80,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,BST,M5153COR,Strip OD Lip Seal ,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515701,1000122166,90,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,BLS,M5153BLS,Blasting,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515702,1000122166,100,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,MTS,M5153MTS,Metal spray OD Ring Wear,,6,,,,,1.00012E+12,0,,,1,,,,,,,,,
515703,1000122166,110,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,MTS,M5153MTS,Metal Spray OD Lip Seal ,,3,,,,,1.00012E+12,0,,,1,,,,,,,,,
515704,1000122166,120,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,MGN1,M5153COR,Machining OD Ring Wear,,8,,,,,1.00012E+12,0,,,1,,,,,,,,,
515705,1000122166,130,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,MGN1,M5153COR,Machining OD Lip Seal,,3,,,,,1.00012E+12,0,,,1,,,,,,,,,
515706,1000122166,140,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,HDR,M5153HDR,Retap thread holes,,1,,,,,1.00012E+12,0,,,1,,,,,,,,,
515707,1000122166,150,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,HDR,M5153HDR,Handressing,,1,,,,,1.00012E+12,0,,,1,,,,,,,,,
515708,1000122166,160,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,QC2,M5153QC2,Final Inspection ,,1,,,,,1.00012E+12,0,,,1,,,,,,,,,
514416,1000122069,50,SFRM-559-I,5-000848,Bucket 6020 Up Size (CE6168),6020 Up Size,PT. Cipta Kridatama,Site BIB,WF5,M5153WF5,Remove Base Edge,,10,,,FINISH,12/10/2025,1.00012E+11,0,,,1,,,,,,,,,
515697,1000122166,50,SWRP-768,316-9771,Housing Inner Final Drive,14M,PT. Trakindo Utama,BMB,HB,M5153CLT,Skim ex weld bad profile at face,,2,,,FINISH,12/13/2025,1.00012E+11,0,,,1,,,,,,,,,
515566,1000122287,10,SFRM-780,5-001490,Roof Top & Ladder Container ,,PT.Cipta Kridatama ,BIB,PPC,,Order material,,0,,,,,1.00012E+11,0,,,1,,Plant hanya Cutting dan Fabricate tangga,,,,,,,
515567,1000122287,20,SFRM-780,5-001490,Roof Top & Ladder Container ,,PT.Cipta Kridatama ,BIB,PRM2,,Cutting Material,,30,,,,,1.00012E+11,0,,,1,,Untuk Plate yang di potong bisa di berikan damarkasi urutan Container,,,,,,,
515373,1000121949,50,SHCG-266-I,,Rod Cylinder Tyre Handler Magni,TH5036,"PT. Cipta Kridatama,",Site BMB,HB,,Machining OD Thread,,4,,,FINISH,12/13/2025,1.00012E+11,,,,4,,,,,,,,,
509675,,100,BHCG-12356,223-9645,Rod Baru,777,PT SEJAHTERA,Sebamban,HD,,Handressing,,1,,,,,100,,,,1,,,,,,,,,
515589,1000122213,20,SHCG-442,,Head As Side Shift Cylinder,16M3,"PT. Cipta Kridatama,",Site BIB,WM2,M5153WM2,Tig weld Dent area,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515590,1000122213,30,SHCG-442,,Head As Side Shift Cylinder,16M3,"PT. Cipta Kridatama,",Site BIB,SYG,M5153COR,Skim ex TIG weld dent are,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515591,1000122213,40,SHCG-442,,Head As Side Shift Cylinder,16M3,"PT. Cipta Kridatama,",Site BIB,SYG,M5153COR,Skim ex TIG weld circular seal buffer area,,4,,,,,1.00012E+11,0,,,1,,,,,,,,,
515592,1000122213,50,SHCG-442,,Head As Side Shift Cylinder,16M3,"PT. Cipta Kridatama,",Site BIB,HDR,M5153HDR,Handressing,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515593,1000122213,60,SHCG-442,,Head As Side Shift Cylinder,16M3,"PT. Cipta Kridatama,",Site BIB,QC2,M5153QC2,Post Inspection,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
514418,1000122069,70,SFRM-559-I,5-000848,Bucket 6020 Up Size (CE6168),6020 Up Size,PT. Cipta Kridatama,Site BIB,WF5,M5153WF5,Remove Adapter Center Side RH,,5,,,,,1.00012E+11,0,,,1,,,,,,,,,
514429,1000122069,180,SFRM-559-I,5-000848,Bucket 6020 Up Size (CE6168),6020 Up Size,PT. Cipta Kridatama,Site BIB,WF3,M5153WF3,Setting & Welding Joint Base Edge,,40,,,,,1.00012E+12,0,,,1,,,,,,,,,
514432,1000122069,210,SFRM-559-I,5-000848,Bucket 6020 Up Size (CE6168),6020 Up Size,PT. Cipta Kridatama,Site BIB,WF3,M5153WF3,Setting & Welding Plate Reinforce,,6,,,,,1.00012E+12,0,,,1,,,,,,,,,
514427,1000122069,160,SFRM-559-I,5-000848,Bucket 6020 Up Size (CE6168),6020 Up Size,PT. Cipta Kridatama,Site BIB,WF5,M5153WF5,Setting & Welding Lipshroud Section,,10,,,FINISH,12/19/2025,1.00012E+12,0,,,1,,,,,,,,,
514856,1000121496,50,SFRM-768,5-001317,Cutting And Profil Material Boom Frame CAT323,REINFORCE BOOM CAT 320,PT. Trakindo Utama,Site Batulicin,QC2,M5153QC2,Final Inspection,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515596,1000122214,40,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,BSW,M5153BSW,Cut off tube from eye,,2,,,,,1.00012E+11,0,,,2,,,,,,,,,
515610,1000122214,180,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,HM,M5153HM1,Honing ID housing,,8,,,FINISH,1/10/2026,1.00012E+12,0,,,2,,,,,,,,,
515603,1000122214,110,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,WM3,M5153WM3,Weld joint eye to tube,,4,,,,,1.00012E+12,0,,,2,,,,,,,,,
515594,1000122214,20,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,PPC,,Order Material Tube,,0,,,,,1.00012E+11,0,,,2,,"AISI1026 OD=125(5"") ID=105 L=1700",,,,,,,
515595,1000122214,30,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,HDR,M5153HDR,Remove oil port block,,1,,,,,1.00012E+11,0,,,2,,,,,,,,,
515597,1000122214,50,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,WM2,M5153WM2,TIG Weld worn out at ID Cap ,,4,,,,,1.00012E+11,0,,,2,,,,,,,,,
515598,1000122214,60,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,SYG,M5153COR,Skim remove weld excess,,1,,,,,1.00012E+11,0,,,2,,,,,,,,,
515599,1000122214,70,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,SYG,M5153COR,Machining profile joint tube prior to joint,,4,,,,,1.00012E+11,0,,,2,,,,,,,,,
515600,1000122214,80,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,SYG,M5153COR,Machining profile joint eye prior to joint,,4,,,FINISH,1/8/2026,1.00012E+11,0,,,2,,,,,,,,,
515601,1000122214,90,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,HB,M5153CLT,Strip ID eye,,2,,,,,1.00012E+11,0,,,2,,,,,,,,,
515602,1000122214,100,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,HM,M5153HM1,Pre Honing ID housing,,4,,,,,1.00012E+12,0,,,2,,,,,,,,,
515604,1000122214,120,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,WM3,M5153WM3,Weld build Up ID eye,,2,,,,,1.00012E+12,0,,,2,,,,,,,,,
515726,1000122224,80,SHCG-441,374-2285,Housing As Ripper Lift Cylinder,D10T,PT. Cipta Kridatama,BIB,HDR,M5153HDR,Handressing,,2,,,,,1.00012E+11,0,,,4,,,,,,,,,
417121,1000078791,24,SDFP-09,,Carrier Differential,,PT. Cipta Kridatama,Site BIB,WM3,,Pre Heat before weld,,0.25,,,,,1.00008E+11,,,,1,,,update,2/2/2026,2/2/2026,2/6/2026,2/11/2026,1,22
515605,1000122214,130,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,RD,M5153RD1,Drill Oil port hole,,1,,,FINISH,1/6/2026,1.00012E+12,0,,,2,,,,,,,,,
515606,1000122214,140,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,WM2,M5153WM2,TIG Weld joint oil port,,1,,,,,1.00012E+12,0,,,2,,,,,,,,,
515607,1000122214,150,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,MGN1,M5153COR,Machining ID head seat (Threads area),,4,,,,,1.00012E+12,0,,,2,,,,,,,,,
515608,1000122214,160,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,MGN1,M5153COR,Machining OD Groove,,1,,,,,1.00012E+12,0,,,2,,,,,,,,,
515609,1000122214,170,SHCG-442,,Housing As Side Shift Cylinder,14M,"PT. Cipta Kridatama,",Site BIB,HB,M5153CLT,Machining ID eye,,4,,,,,1.00012E+12,0,,,2,,,,,,,,,
